Birth frame,Birth ID,End frame,End ID,End of Movie,Died1,FUCCI_ON_FRAME,Questionable1,Questionable2,Notes,Birthtimeh,Lifetimeh,EOM,died,G1_time,S_G2_M_time,Match
10,C,454,,TRUE,,,TRUE,TRUE,Cell leaves the focal plane but reappears ,2.6,114.7,TRUE,FALSE,114.7,0,
11,A,64,C,,,30,,,,2.8,13.7,FALSE,FALSE,4.9,8.8,
11,A,64,D,,,30,,,,2.8,13.7,FALSE,FALSE,4.9,8.8,
11,B,59,B,,,29,,,,2.8,12.4,FALSE,FALSE,4.7,7.8,
11,B,61,A,,,32,,,,2.8,12.9,FALSE,FALSE,5.4,7.5,
12,A,69,A,,,31,,,,3.1,14.7,FALSE,FALSE,4.9,9.8,
12,A,70,B,,,32,,,,3.1,15,FALSE,FALSE,5.2,9.8,
12,B,372,A,,,326,,,,3.1,93,FALSE,FALSE,81.1,11.9,
12,B,454,,TRUE,,,,,,3.1,114.2,TRUE,FALSE,114.2,0,
14,A,454,,TRUE,,,TRUE,TRUE,Cell leaves the focal plane but reappears ,3.6,113.7,TRUE,FALSE,113.7,0,
14,A,454,,TRUE,,,TRUE,TRUE,Cell leaves the focal plane but reappears ,3.6,113.7,TRUE,FALSE,113.7,0,
14,B,62,B,,,36,,,,3.6,12.4,FALSE,FALSE,5.7,6.7,
14,B,84,A,,,39,,,,3.6,18.1,FALSE,FALSE,6.5,11.6,
14,C,287,A,,,239,,,,3.6,70.5,FALSE,FALSE,58.1,12.4,
14,C,454,,TRUE,,270,,,FUCCI goes off at frame 385 without the cell dividing ,3.6,113.7,TRUE,FALSE,66.1,47.5,
14,D,70,C,,,42,,,,3.6,14.5,FALSE,FALSE,7.2,7.2,
14,D,381,A,,,339,,,,3.6,94.8,FALSE,FALSE,84,10.9,
15,A,78,B,,,45,,,,3.9,16.3,FALSE,FALSE,7.8,8.5,
15,A,341,A,,,280,,,,3.9,84.2,FALSE,FALSE,68.5,15.8,
15,B,289,A,,,237,,,,3.9,70.8,FALSE,FALSE,57.4,13.4,
15,B,454,,TRUE,,,,,,3.9,113.4,TRUE,FALSE,113.4,0,
15,C,74,A,,,39,,,,3.9,15.2,FALSE,FALSE,6.2,9,
15,C,149,A,,TRUE,46,,,,3.9,34.6,FALSE,TRUE,8,26.6,
15,D,67,B,,,37,,,,3.9,13.4,FALSE,FALSE,5.7,7.8,
15,D,72,A,,,37,,,,3.9,14.7,FALSE,FALSE,5.7,9,
15,E,454,,TRUE,,,,,,3.9,113.4,TRUE,FALSE,113.4,0,
15,E,454,,TRUE,,,,,,3.9,113.4,TRUE,FALSE,113.4,0,
16,A,129,A,,,83,,,,4.1,29.2,FALSE,FALSE,17.3,11.9,
16,A,392,A,,,326,,,,4.1,97.1,FALSE,FALSE,80.1,17.1,
17,A,252,A,,,205,,,,4.4,60.7,FALSE,FALSE,48.6,12.1,
17,A,297,A,,,220,,,,4.4,72.3,FALSE,FALSE,52.4,19.9,
17,B,83,A,,,46,,,,4.4,17.1,FALSE,FALSE,7.5,9.6,
17,B,291,A,,,247,,,,4.4,70.8,FALSE,FALSE,59.4,11.4,
17,C,454,,TRUE,,,,,,4.4,112.9,TRUE,FALSE,112.9,0,
17,C,454,,TRUE,,,,,,4.4,112.9,TRUE,FALSE,112.9,0,
18,A,77,B,,,48,,,,4.7,15.2,FALSE,FALSE,7.8,7.5,
18,A,454,,TRUE,,,,,,4.7,112.6,TRUE,FALSE,112.6,0,
19,A,81,A,,,42,,,,4.9,16,FALSE,FALSE,5.9,10.1,
19,A,83,B,,,45,,,,4.9,16.5,FALSE,FALSE,6.7,9.8,
19,B,454,,TRUE,,,,,,4.9,112.4,TRUE,FALSE,112.4,0,
19,B,454,,TRUE,,,,,,4.9,112.4,TRUE,FALSE,112.4,0,
19,C,78,C,,,47,,,,4.9,15.2,FALSE,FALSE,7.2,8,
19,C,454,,TRUE,,,,,,4.9,112.4,TRUE,FALSE,112.4,0,
20,A,80,A,,,49,,,,5.2,15.5,FALSE,FALSE,7.5,8,
20,A,449,A,,,388,TRUE,TRUE,Cell may have been confused with a neighboring cell at frame 370,5.2,110.8,FALSE,FALSE,95.1,15.8,
20,B,262,A,,,217,,,,5.2,62.5,FALSE,FALSE,50.9,11.6,
20,B,279,A,,,232,,,,5.2,66.9,FALSE,FALSE,54.8,12.1,
20,C,76,A,,,43,,,,5.2,14.5,FALSE,FALSE,5.9,8.5,
20,C,454,,TRUE,,,,,,5.2,112.1,TRUE,FALSE,112.1,0,
22,A,102,A,,,70,,,,5.7,20.7,FALSE,FALSE,12.4,8.3,
22,A,454,,TRUE,,367,,,Cell has not divided by the end of the movie; FUCCI is still on,5.7,111.6,TRUE,FALSE,89.1,22.5,
23,A,454,,TRUE,,,,,,5.9,111.3,TRUE,FALSE,111.3,0,
23,A,454,,TRUE,,,,,,5.9,111.3,TRUE,FALSE,111.3,0,
23,B,454,,TRUE,,,,,,5.9,111.3,TRUE,FALSE,111.3,0,
23,B,454,,TRUE,,,,,,5.9,111.3,TRUE,FALSE,111.3,0,
24,A,93,A,,,57,,,,6.2,17.8,FALSE,FALSE,8.5,9.3,
24,A,90,C,,,58,,,,6.2,17.1,FALSE,FALSE,8.8,8.3,
25,A,125,A,,,84,,,,6.5,25.8,FALSE,FALSE,15.2,10.6,
25,A,432,A,,,367,,,,6.5,105.1,FALSE,FALSE,88.4,16.8,
25,B,454,,TRUE,,,,,,6.5,110.8,TRUE,FALSE,110.8,0,
25,B,454,,TRUE,,,,,,6.5,110.8,TRUE,FALSE,110.8,0,
25,C,285,,,,,TRUE,TRUE,Leaves the movie at frame 285.,6.5,67.2,FALSE,FALSE,67.2,0,
25,C,454,,TRUE,,,,,,6.5,110.8,TRUE,FALSE,110.8,0,
26,A,454,,TRUE,,,,,,6.7,110.6,TRUE,FALSE,110.6,0,
